gene_id,stability_score,fold_count
ENSG00000000009,1.0,5
ENSG00000000017,1.0,5
ENSG00000000004,1.0,5
ENSG00000000038,1.0,5
ENSG00000000039,1.0,5
ENSG00000000045,1.0,5
ENSG00000000008,1.0,5
ENSG00000000016,1.0,5
ENSG00000000012,1.0,5
ENSG00000000019,1.0,5
ENSG00000000010,1.0,5
ENSG00000000048,1.0,5
ENSG00000000023,1.0,5
ENSG00000000025,1.0,5
ENSG00000000027,1.0,5
ENSG00000000006,1.0,5
ENSG00000000020,1.0,5
ENSG00000000011,1.0,5
ENSG00000000470,1.0,5
ENSG00000000040,0.8,4
ENSG00000000047,0.8,4
ENSG00000000007,0.8,4
ENSG00000000471,0.8,4
ENSG00000000003,0.8,4
ENSG00000000032,0.6,3
ENSG00000000049,0.6,3
ENSG00000000472,0.6,3
ENSG00000000018,0.6,3
ENSG00000000014,0.6,3
ENSG00000000035,0.6,3
