gene_id,stability_score,evidence_strength_raw,evidence_strength_norm,vulnerability_score,biomarker_confidence_score,high_confidence,evidence_type,conflicting_findings,mechanism_summary,supporting_pmids
ENSG00000093010.15,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000093009.11,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000093000.19,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092978.11,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092969.12,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092964.18,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092931.11,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092929.12,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092871.17,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092853.14,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092850.12,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092847.13,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092841.19,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092820.18,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092758.18,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092621.13,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092607.15,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092531.10,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092529.25,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092470.12,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092445.12,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092439.16,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092421.17,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092377.15,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092345.14,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092330.18,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092295.12,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092208.17,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092203.15,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
ENSG00000092201.10,1.0,1.0,0.0,0.5,0.0,False,unclear,False,,
