gene_id,stability_score,fold_count
ENSG00000000000,1.0,5
ENSG00000000049,1.0,5
ENSG00000000018,1.0,5
ENSG00000000041,1.0,5
ENSG00000000042,1.0,5
ENSG00000000044,1.0,5
ENSG00000000024,1.0,5
ENSG00000000016,1.0,5
ENSG00000000020,1.0,5
ENSG00000000011,1.0,5
ENSG00000000026,1.0,5
ENSG00000000012,1.0,5
ENSG00000000031,1.0,5
ENSG00000000030,1.0,5
ENSG00000000009,1.0,5
ENSG00000000037,1.0,5
ENSG00000000035,1.0,5
ENSG00000000022,1.0,5
ENSG00000000019,1.0,5
ENSG00000000048,1.0,5
ENSG00000000038,1.0,5
ENSG00000000029,1.0,5
ENSG00000000013,1.0,5
ENSG00000000002,1.0,5
ENSG00000000007,0.8,4
ENSG00000000010,0.8,4
ENSG00000000004,0.8,4
ENSG00000001970,0.6,3
